이승구 | 1592년, 전국시대가 끝난 도요토미 정권 치하의 일본이 조선을 침략하였다.

박기은 | 그들은 명을 치러 갈 테니 길을 내달라는 명분으로 침략해왔다.

김윤규 | 그 때였다.

한의호 | 우렛소리와도 같은 폭발음과 함께 철갑을 두르고 기이한 불빛을 내는 군마를 타고 조선의
병사들이 그들을 향해 달려들었다.


홍태광 | "출입국관리법 제12조에 의거해, 입국하는 출입국항에서 출입국관리공무원의 입국심사를 받아야 합니다. 같이 항구로 가시죠."

강태성 | 그때, 닌자가 나타났다

이승구 | "나는 이 세계의 관리자, 그런 법은 존재하지 않는다. 이야기를 다시 그들을 향해 달려들었다로 되돌리겠다."

박기은 | 병사들은 공무원과 닌자를 번갈아 바라보다가 이들을 모두 말에 태웠다.

김윤규 | 말 한마리에 병사와 공무원, 닌자가 낑겨 타서 '빠직' 하고 말의 다리가 부러졌다.

한의호 | "이런, 다리가 부러졌다니 어쩔 수 없군, 연료가 많이 들지만 호버링 모드로 전환 할 수밖에."

홍태광 | 이들은 말을 호버링 모드로 전환한 후 조정으로 곧장 향했으나 조정을 관리하는 현 국왕인 선조는 이미 도주하고 없었다.

강태성 | ???: 라는 느낌의 줄거리를 써봤는데 어떠신가요 편집장님

이승구 | 편집장 : 조선시대에 호버링? 어디 판타지물 찍어?! 에휴!!, 편집장은 서류를 던지고 깊은 한숨과 함께 건물 옥상으로 향했다.

박기은 | 하.. 회사가 말세야.. 다들 일하기 싫은가보지.. 말도안되는 기획서나 들고오고.. (편집장이 옥상에서 담배를 뻑뻑 핀다)

김윤규 | 편집장의 그런 모습을 뒤에서 지켜보고 있던 회장님은 속으로 이런 생각을 한다....

한의호 | '아, 저녁 뭐 먹지...'

홍태광 | 회장님: 이봐 궁편집장, 저녁은 먹었나? 혹시 먹지 않았다면...

강태성 | 요 앞에 마라 떡볶이 잘 하는 집 있던데 가서 사먹고 리뷰해줘, 내가 말이야, 요세 식단 관리때문에 분식을 못먹어서...
